评论者	评论内容
_________	比我早生50年的日本人写的书让我第一次深刻体会到代沟和文化隔阂。在本人生活的时代和成长的环境下读这书觉得在看天方夜谭。除了诸多片面事例和逻辑漏洞，几乎不用思考就能发现，书里对男性的批判对女性一样适用，对女性的维护对男性同样适用。根本上，书里批判的是男女都有的人性的缺点，不知为何这些缺点在作者眼里突然就和性别挂上了钩。如果“歧视”是指根据个别现象而对某一类群体打标签，那本书可真是通篇歧视。“如果你读了这本书感觉不快，那无疑是因为你知道什么事厌女症。”请问这不容置疑的自信是哪来的？要是您的理论可以解释任何事情，无从证伪，又怎么能叫科学？ p.s.有对比才有伤害。李银河《女性主义》的前言就比这整本书高出一截，《厌女》能在top250，《女性主义》却只有4000读过，离谱。
Tony（河南版	之前一看到“莎士比亚是否厌女”就烦躁，现在觉得这好像还是个蛮重要的问题.....
离你七公里	一些人把自己一生的不幸都归结于自己是一个女人，仿佛倘若自己是个男人就不会遇到任何困难，或则至少可以勇敢地挑战一切。可是，人世间的绝大多数幸运或则不幸都和性别都没什么关系。
哦	三句不离性，狭隘的论点
何默然	本书逻辑混乱，也没有任何可靠例证。
⠀	像极了水论文的成果。
半夏	只能说很差，差的离谱。这种逻辑都不通的厌世之作也能这么高分让人费解。只能说掌握了流量密码就是一坨翔也能给你评为艺术品。
かいまり	在批判的過程中達到愉悅
迷信鉴定员小谈	作为一名思想家太极端太果断
清澈的银白	不喜欢这种把一边对立起来的分析，比较狭隘。男性身上的很多弊病是人类共有的，女性也一样。感觉作者在污名化男性，我要为男权发声。
古尔德的汪	不可。文化差异还是有的，日本人理解的厌女很多基于变态心理吧。还有一些作者自己下的定义，让人觉得“只有日本人才会有这样的想法，正常人谁会这么想？”  。总之女性主义不可以再看日本作者的了，这国家谈女权就像纸上谈兵一样。
妥善保管梦	世界上能完全对立的东西其实很少
71011	阅读体验真的不太好，以闲聊形式展开着，忽然就开始文学批评，过一段又突然严肃地讨论学术，还喜欢自己用比喻引号造一大堆没有共识起来的学术词语，看得人头晕目眩。
不系的舟	其实主题很犀利角度很好，但就是写得太一般了，翻译也不太流畅，撑不起厌女这个宏大的值得探讨的深刻主题
糖饼	"一是我居然花了二十块买这个智商税。
二是如果拿着辩证的眼光看，这本书处处是破绽。
三是不推荐单身女性看。内容过于偏激，容易被洗脑。

看了四分之一实在是看不下去系列。"
黄金的马场	可以看出来作者受福柯影响很大，但也正是由于这一点，该书观点存在严重的撕裂。福柯在方法论上最突出的贡献是「历史化」，任何「常识」的存在都是历史的，而非永恒的，作者在「权力的色/情化」一章比较忠实于福柯，这一章也是读起来最有启发的一章。但在其他的章节中，普遍充斥着绝对化的、永恒化的，尤其是基于性别的性别本质主义的叙事手法，而这恰恰是福柯研读者应该破除的。既阅读了大量的、争鸣的优秀作品，又希望利用它们论述一个偏颇的观点，这是观点和行文中种种撕裂的本源。 作者在结尾写到，自己预料到这本书由于「触及真实」，将会引起读者的不愉快，大可不必用「真实」作障眼法，也可不必用「读者」这个中性词汇掩盖，因为全书的主要恶意都指向男性。 这样一本书被豆瓣捧成「圣经」，说明大部分阅读者的智力水平，跟中世纪信徒相差无几。
豆友263111142	负典
AshleyD	找不到认同感。不断夸大两性差异化又有什么快感呢？每每读到一些观点，我总觉得反过来说也成立。或许我生活的世界还是太美好了
GEIVEEN	被女拳吹上天了
FUNNI	引用多过观点
重华BELLOW	"上野千鹤子写这本书 很""聪明""，她只给你最表显的现象，并加以渲染来支撑她的核心论点，但是不会深挖这个现象背后的逻辑，一旦她推导出这是个""雄竞社会""，而非""男权或者厌女社会""，那么她这本书就写不下去了，就变成男性女性怎么在雄竞社会下被束缚的，女权则彻底失去了道德制高点，因为女权是建立在""这是个男权社会""基础而发展起来的，一旦""男权神话""被打破，女权则不复存在。  女本位女权 追求的实质就是 ""利女的雄竞社会""，即把雄竞社会中束缚女性的部分去掉，保留雄竞社会对女人好的，她们可不想要什么平权社会。    但凡有点自我思考能力的人都不会被这本书逻辑带进去，除非是本来就想用这本书带节奏的人，或者容易被忽悠的人，才会把这本书当圣典。"
宋小生	作者有些怨恨，虽然厌女不道德，但我觉得应该从人性的角度去理解，而不是矛头直指男性的丑恶，去指责不留余地的批判。还是可以学习到一些东西的，有些新的角度，等看完再评价。
juillet	1.容易挑起性别对立，女性崛起不是踩男性，也不是让女性觉得自己有病。 2.论据与论点之间逻辑牵强。 3.刻意的具引导性的言论，也是一种洗脑和催眠，也是一种迷信思想。
Moonkagari	死肥宅来喽～
Fei.Y	一个厌男的女性，虚构出一种厌女的男性，并随意给这种所谓男性下定义，写出一本所谓厌女的书。在男女分歧日益加深的当代，这点水平的书会受欢迎，只会导致人们越来越像虚构的男女，在虚构中互为仇敌。
白易	"完全看不明白，感觉不是一本讨论社会学和文化的书。

书中的男人女人特指在这个时代的男人女人吧，但读起来会有一种男人都是这样女人都是那样的感觉。

我还是觉得在很大程度上，个体差异大于两性差异。"
小七快飞	两章弃。
红色药丸	男人看这本书的感觉就好像犹太人看希特勒写的《我的奋斗》一样。 支持纳粹的犹太人被希特勒送进集中营，支持女权的男人其实也不例外。
Qsusu	狭隘的女性身份视角，厌男症。车轱辘话来回说。只蜻蜓点水地陈述现象，而不深挖本质原因。像是本科生论文水平，无语。
小林青子	上野千鹤子的“厌女”概念来自美国学者塞吉维克的性别秩序理论，该理论三要素分别为“男性同性社会性欲望”、“厌女症”、“同性恋憎恶”，第一个词是塞吉维克新造的，这种三位一体的解释方式的突破之处是，“异性恋性别二元机制”通常被认为是“男—女”的关系，而塞吉维克的性别秩序理论是“男—男—女”的关系，女性不是与男性相对，而是被男性他者化的欲望客体。 上野千鹤子以该理论和机制为基础，引入日本一些社会事件、流行文学、天皇制度、日本女校和娼妓文化，来论证日本的厌女症。但塞吉维克是文学研究者，他的理论是以近代英国文学为材料得出的，而上野千鹤子作为社会学学者，引用该理论论证社会症状，没有任何实证研究和材料，全是个人观点，筛选几个社会事件、几个厌女的男女作家甚至屡次用“听说发生过一个XX事件”来论证，我？？？
輞川	nonsense
Lucas	居然有人能写书写得如此毫无逻辑...
颤抖的企鹅	这书也能评分这么高？真的有那么多人读完了吗？如此无趣的一本书，并没有什么振聋发聩的新发现，无非是讲些“男尊女卑”的老生常谈，观念也陈旧偏激缺乏同理心。不用搜，作者肯定是个资深厌男症患者。
Wittgel	实在对上野的谱系学方法回避了几乎所有对于建构主义的批评感到不满--情境中的具体的关系，真的只有那么些阐释者眼中的符号化的、格式化的语用吗?比如“沉默”＝“肮脏”?她傲慢至极，批判日常语言之中的“厌女症”，缺不给出自己使用的这套“女爹”话语的正当性，将日常语言的败坏归为主体的罪责... 声称性不是本质化的，却把作为修辞“女性”作为公正问题的本质，规范一种“不平等的抗争方式”，极其恶心，一个不入流的末人...被恶心到了
果冰多吃蔬菜	大家打分都太高了会导致这书看着看着觉得好像没那么好是不是我的问题，啊那是不是说明我已经被社会化厌女植入，啊，这样一想完就觉得这书逻辑形成了一个完美闭环啊.......（糟糕//
西风照烈酒	高分烂书，伪女拳苟给爷爬，这作者没安好心，读罢让人怀疑作者是不是经常被家暴！
もしもし鸭先知	以为是东方波伏娃，至少是日本李银河，结果一看，这不金星吗？
超人不会飞	不如《第二性》，干货不多，前面几章还行，后面完全就成了片面的个例
Penlin	毫不怀疑？ 对离婚后回到娘家的女儿，母亲在心中是暗暗欢迎的
星楚	没太明白这本书为什么这么受推崇。一向不喜欢心理学，这本书更是让我大皱眉头，书里面充满了不少主观灌输的观点，在我看来某件事实的原因并不是书中所说的那样，但也有可能是因为性别视角的原因吧。
zebaoa	在我看来，这本书有很多值得反思的东西，不过，更值得反思的是，他在豆瓣评分为何是如此只好。这样的女权真的能带来实质性的男女平等吗？
蘑菇丛林	不知是原文叙述本就如此还是翻译的问题，缺少语言阅读的叙述流畅感，枯燥无味大量引用就像论文一般。。
野生momo君	恐同即深柜，厌女即直女。开篇就提出的概念翻来覆去地讲。我有厌女综合征，常年处于自我厌恶和性别压抑中🤮🤮
煎饼	带有很多作者不曾意识到的双标观点，长得丑的女性是可怜，长得丑的男性就是心理龌龊，甚至还有很多仅仅是猜测就得出笃定的结果的内容（所以，男人就是……）简直当代女拳必读圣经
Icey	隔靴搔痒，猎奇的角度，内容不够艳丽，分析的角度说的不彻底。很难想象，竟然评分这么高。
豆友140626077	不怎么想看书了，感觉应该戏仿戏仿姐妹，把标的书全部取掉，就留个厌女和从零开始的女性主义了
il y a	谁才是真正陷入了性别二元秩序的一目了然吧
超认真嬉戏	没想到评分如此之高，对这种类型的书完全无感，仅个人观点
剑人	太狭隘了，这女的就是看不惯任何男性，还找来一堆书籍验证。男女除了那点性之外就没有别的生活吗？女拳真可怕。作者就像一个小媳妇一样，觉得人人都对不起她，人人都歧视她。
Nemo	个人觉得被广大读者称为“女性圣经”，实属过誉了，名不副实。作者似乎并没有认识到，女性权益受到压榨和性别对立等问题，除了父权制残存的毒瘤影响之外，根本上是因为底层资源匮乏和分配不均所致，发展才能解决一切，而妇女解放运动的参与者并非只能是女性，而是一切因社会的不公受到欺压的群体，无论男女目标都是一致的。而本书并没有明确的给困境以答案，很多带有戾气的论调和缺乏理由的主观臆断，极容易误导部分年轻群体的两性观。挑拨性别对立，只会激化社会矛盾，而西方社会长达半个世纪之久却仍然无法为女性谋求新道路的女权主义运动，我们似乎已经看到前车之鉴了。
