漱石枕流	还有人不知道一直鼓吹不婚不育的上野千鹤子女士已经秘密的结了婚吗
不要找到我	只描述现象，却不探讨原因，读下来给人感觉厌女是与生俱来根深蒂固的。上野的逻辑实在太差了，全文读到的就是：厌女的原因➡男女性别不对等，男人是性主体，要通过将女性置于性客体的位置来占有，以此在男人群体中证明自己。但男人为什么是性主体，以及色情的权利为什么掌握在男性手中却闭口不谈，总不能将这个问题的原因也归于厌女吧？这不就是在循环论证吗..
等等的胜利	不咋讲理
DF Texas	2023年了真的没必要扯出你的上野老师了 在成为强者和作为强者的依附面前 最后选择了后者 什么概念 变成女的男人 资本男权的女人 一个学者在政治方面的歪曲已然会表现在性别问题上 民族没办法解放 妇女儿童怎么解放 小姑娘你们何来自由？当旧军统的大太太还是风情法国人的情妇？抱歉30岁后人老珠黄毫无生存能力的你只能在旧社会当卖的 你那上野老师妄想用性的暴力复活军国主义亡魂的淫梦亦如没用做完 把三光政策说的那么清新脱俗 中国现代女性解放道路已经极右到离谱了 现在看来有的人只想当法国妓女 日本地雷妹 韩国财阀玩物和美国政治正确的崽种 呜呼哀哉 如此高分说明渗透的真的彻底 还有豆瓣女性朋友们 真正的女性主义者（也是马克思主义者）是绝命毒师里的老麦克 保护弱势 而不是跪舔 媚强的上野
绿岛巨峰	有些评论说本书较浅，适合入门者读，我看完的观点是：浅且歪，不适合入门者读。首先本书少了一个板块—“厌女”现象出现的根本原因。其次，厌女不仅是针对女性的，也是对男性的一种束缚，伤害是双重的，但显然上野老师以“厌女”为题的分析只是单方面的，ps.记纪的神话理论学值得一看。最后是上野老师选为了论证自己的观点，把史例分析都说错了，这不是误导人吗？以及很想吐槽上野老师居然认可性暴力作品的流通，美其名曰在想象里发泄，在现实中就有所收敛……
地鼠の故事	期望值太高了，导致看完略失望，绝对过誉了。在二三星之间。 前三章比较枯燥，理论论述多；后面就是从不同视角、阶层厌女的表现及对原因的探究。但是，说一千道一万，不如一本《绝叫》的厌女冲击更强烈。 摘抄了几句，全书仅有的几处共鸣： 1. 所谓厌女症，就是男人的女性蔑视、女人的自我厌恶的代名词。 2. 他们喜欢的，是对用钱买来的女人的任意玩弄和控制，让她们甚至身不由己地主动服从自己。 3. 将原因转嫁到被害者身上，加害者的一贯手法。
Mikoto	以我的智商看起来有点吃力，以此推得大部分读者应该也是读的不明不白的，另外行文带着一股浓浓的拳师气息，怪不得被奉为拳师圣典，有一种女人凝视的感觉。。。。一言以概之，我不要你认为，我要我认为。。。在去往长沙的列车上以冷静的心态来阅读，突然发现作者上野是一个偏执狂。所以本文逻辑混乱与那种断定式的文风也都有了解释。
天街小雨	想不到洗白南京大屠杀的上野千鹤子居然也有这么多的拥趸呢
昵称想了半天	多点清晰的逻辑少点文字游戏有这么难吗……
四季等风人	《一个厌男者的自嗨》，没有任何社会学科学研究方法的痕迹，全程都是作者运用各种文学作品、文学批评作品、社会个别极端犯罪案例作的颅内高潮，无法揭示日本男女关系的普遍规律，也没有道明女性的实际弱势方面。“厌女”观点效度和信度过低，不具有参考价值。该书未曾提出任何有益于女性的建设性意见、法律法规、制度保障等相关举措。除了加剧性别对立，受害者心理，无助于女性改善生活。 该书豆瓣评分过誉，有不明势力分裂中国男女之嫌。
苏鲁支的战友	黑白颠倒，指鹿为马，阴谋诡辩，男性公敌
